127	Ananasové plátky (sířené) - na váhu	0.14	2021	282.94
130	Datle - na váhu	0.07	10916	764.12
133	Meruňky celé sířené - na váhu	0.095	3312	314.64
136	Sušená rajčata - na váhu	0.21	2631	552.51
170	Kustovnice čínská - na váhu	0.35	1358	475.3
218	Rozinky (sířené) - na váhu	0.085	4679	397.715
219	Zázvor kostky (slazený, sířený) - na váhu	0.17	8502	1445.34
300	Meruňky celé nesířené - na váhu	0.14	10174	1424.36
333	Banánové plátky - na váhu	0.13	-116	0
354	Černý rybíz v bílé čokoládě - na váhu	0.36	4170	1501.2
399	Kokos strouhaný jemný - na váhu	0.086	9613	826.718
400	Rozinky (nesířené) - na váhu	0.11	33080	3638.8
445	Brusinky s jablečným sirupem (nesířené) - na váhu	0.25	2163	540.75
524	Žampiony plátky sušené - na váhu	1.6	224	358.4
539	Sušené hrušky sířené - na váhu	0.24	4058	973.92
561	Moruše bílá - na váhu	0.21	2502	525.42
576	Banány sušené kousky - na váhu	0.17	242	41.14
600	Švestky sušené sířené - na váhu	0.12	2656	318.72
8	Konopný (veganský) protein - na váhu	0.44	432	190.08
250	Ostatní	1	-9866	0
211	Zálohovaný kyblík (samostatně zakoupit nelze)	20	-3	0
227	Lahev na mléko nebo sklenice na jogurt	10	-180	0
238	Sáček bavlněný bílý malý	10	10	100
239	Sáček bavlněný bílý velký	20	-16	0
23	BIO Anýz - na váhu	0.9	238	214.2
25	BIO Bazalka - na váhu	0.5	328	164
26	BIO Chilli mleté - na váhu	0.8	517	413.6
28	BIO Citronela řezaná - na váhu	0.7	240	168
29	BIO Fenykl celý - na váhu	0.5	1000	500
31	Hřebíček celý - na váhu	0.92	72	66.24
178	Kurkuma - na váhu	0.2	499	99.8
179	BIO Majoránka - na váhu	1.5	334	501
180	BIO Oregano - na váhu	1.3	10	13
183	BIO Pepř bílý celý - na váhu	1.5	167	250.5
186	Skořice mletá - na váhu	0.6	74	44.4
289	Kmín tmavý - na váhu	0.12	4958	594.96
331	BIO Grilovací koření - na váhu	0.35	8	2.8
182	BIO Paprika sladká - na váhu	0.7	106	74.2
368	Sůl himálajská růžová jemná - na váhu	0.03	7709	231.27
425	Badyán celý hvězdičky - na váhu	0.75	52	39
428	Bobkový list - na váhu	0.75	227	170.25
429	Tymián - na váhu	0.29	174	50.46
435	Rozmarýn - na váhu	0.23	69	15.87
439	Nové koření - na váhu	0.35	442	154.7
447	Droždí lahůdkové se sladem - na váhu	0.37	0	0
498	Kari - na váhu	0.26	62	16.12
499	Gulášové koření Angula bez lepku - na váhu	0.2	2	0.4
184	BIO Pepř černý celý - na váhu	1.1	124	136.4
559	Přírodní třtinový cukr surový - na váhu	0.05	43916	2195.8
579	Ocet lihový 10% - stáčený produkt	0.015	912	13.68
596	Bylinkové máslo koření - na váhu	0.5	186	93
597	Petržel drcený list - na váhu	0.3	448	134.4
598	Česnekový granulát - na váhu	0.42	700	294
174	Farmářské máslo - na váhu	0.3	-42569	0
204	Farmářské mléko 1l	28	-183	0
208	Farmářský jogurt bílý 1 kg	58	-11	0
303	Francimel - probiotický nápoj meruňkový 200 ml	28	-19	0
304	Francimel - probiotický nápoj borůvkový 330 ml	35	-39	0
305	Sýr Zlatá Praha - na váhu	0.3	-13350	0
338	Francimel - probiotický nápoj meruňkový 330 ml	35	-1	0
339	Francimel - probiotický nápoj jahodový 200 ml	28	-4	0
365	Francimel - probiotický nápoj bílý 330 ml	34	-3	0
381	Francimel - probiotický nápoj borůvkový 200 ml	28	0	0
449	Tvarohový krém s příchutí čokolády 120 g	32	-62	0
450	Tvarohový krém s příchutí jahoda 120 g	32	-2	0
451	Tvarohový krém s příchutí borůvka 120 g	32	-10	0
453	Sýr tradiční česká NIVA - na váhu	0.205	32	6.56
577	Zámecká NIVA uzená - na váhu	0.205	270	55.35
584	Smetanový zákys 500ml	26	-49	0
585	Smetanový zákys ochucený 500ml	33	-79	0
586	Bílý jogurt 500ml	33	-138	0
587	Ovocný jogurt 180ml	22	-85	0
589	Dobrý Balkán 100g	28	10	280
590	Pomazánka tvarohová 120g	26	10	260
41	Petržel kořenová bez natě - na váhu	0.042	-780	0
220	Česnek - na váhu	0.132	244	32.208
221	Cibule žlutá - na váhu	0.029	-795	0
229	Brambory nové - na váhu	0.019	0	0
231	Jablka Gala - na váhu	0.032	-630	0
233	Žampiony - na váhu	0.075	100	7.5
252	Mrkev - na váhu	0.022	-1330	0
287	Jablka Jonagold - na váhu	0.032	-951	0
290	Ředkvičky svazek	14	1	14
375	Kapusta - na váhu	0.033	26	0.858
378	Konzumní brambory - na váhu	0.032	0	0
413	Dýně Hokaido - na váhu	0.033	90	2.97
424	Hrušky - na váhu	0.055	116	6.38
452	Celer	20	898	17960
458	Rajčata cherry - na váhu	0.165	-46	0
566	okurky nakladačky - na váhu	0.02	272	5.44
567	cukety - na váhu	0.015	10608	159.12
593	Jablka Cameo - na váhu	0.032	858	27.456
49	Bio žito - na váhu	0.026	6504	169.104
68	BIO Špalda - na váhu	0.05	17880	894
72	Jáhly - na váhu	0.06	10152	609.12
78	BIO Rýže jasmínová - na váhu	0.11	10664	1173.04
83	BIO Rýže tříbarevná natural - na váhu	0.13	1312	170.56
95	BIO Kuskus celozrnný - na váhu	0.08	832	66.56
150	Žitná mouka celozrnná - na váhu	0.021	1540	32.34
153	Slzovka obecná - na váhu	0.31	1226	380.06
162	BIO Cizrna - na váhu	0.105	-2635	0
188	BIO Oves bezpluchý - na váhu	0.053	5559	294.627
321	BIO Fazole červená - na váhu	0.102	2089	213.078
322	BIO Čočka tmavozelená - na váhu	0.09	5126	461.34
323	BIO Lupínky kukuřičné - na váhu	0.095	9934	943.73
336	Pohanka neloupaná k naklíčení - na váhu	0.057	11759	670.263
343	BIO Fazole Mungo - na váhu	0.13	488	63.44
369	Pohanka loupaná kroupy - na váhu	0.095	5548	527.06
407	BIO Rýže basmati - na váhu	0.125	4256	532
420	Těstoviny vřetena pšeničná - na váhu	0.03	8514	255.42
440	Rýže dlouhozrnná - na váhu	0.033	6764	223.212
448	BIO rýžové pukance - na váhu	0.27	764	206.28
461	Vlasové nudle - na váhu	0.027	7966	215.082
465	Čočka hnědá velkozrnná - na váhu	0.055	383	21.065
469	Hrách zelený celý - na váhu	0.03	7096	212.88
480	Špagety - na váhu	0.03	3730	111.9
506	Jáhlová kaše Nomina - na váhu	0.13	2900	377
514	Těstoviny rýžové - na váhu	0.1	10922	1092.2
515	Bulgur pšeničný - na váhu	0.05	14100	705
516	Kuskus - na váhu	0.053	11366	602.398
529	BIO Ječné kroupy - na váhu	0.045	7226	325.17
530	BIO Kukuřičná polenta instantní - na váhu	0.055	4000	220
